fact_id,date_id,product_id,country_id,metric_type,value
1,13,1,1,import,0.0
2,13,2,1,import,0.0
3,13,2,1,export,0.0
4,13,5,1,import,32400.0
5,13,1,2,import,28500.0
6,13,1,2,export,0.0
7,13,2,2,import,0.0
8,13,2,2,export,0.0
9,13,5,2,import,182400.0
10,13,5,2,export,0.0
11,13,1,3,import,2160.0
12,13,1,3,export,1747.0
13,13,2,3,import,233740.0
14,13,2,3,export,58104.0
15,13,3,3,import,3000.0
16,13,3,3,export,0.0
17,13,4,3,import,0.0
18,13,5,3,import,442042.0
19,13,5,3,export,270.0
20,13,1,4,import,0.0
21,13,1,4,export,161600.0
22,13,2,4,import,890.0
23,13,2,4,export,750.0
24,13,4,4,import,0.0
25,13,5,4,import,25700.0
26,13,1,5,import,545.0
27,13,1,5,export,0.0
28,13,2,5,import,614.0
29,13,5,5,import,0.0
30,13,1,6,import,26.0
31,13,1,6,export,1730146.0
32,13,2,6,import,207.0
33,13,2,6,export,29921.0
34,13,3,6,import,0.0
35,13,3,6,export,0.0
36,13,4,6,import,0.0
37,13,4,6,export,0.0
38,13,5,6,import,0.0
39,13,5,6,export,1065537.0
40,13,1,8,import,0.0
41,13,1,8,export,100.0
42,13,2,8,import,1650.0
43,13,2,8,export,5300.0
44,13,3,8,import,0.0
45,13,3,8,export,3093.0
46,13,4,8,import,0.0
47,13,4,8,export,0.0
48,13,5,8,import,0.0
49,13,5,8,export,4163800.0
50,13,1,9,import,0.0
51,13,1,9,import,310100.0
52,13,1,9,export,1900.0
53,13,2,9,import,15434.0
54,13,2,9,export,13071.0
55,13,3,9,import,127.0
56,13,3,9,export,0.0
57,13,4,9,import,220.0
58,13,4,9,export,0.0
59,13,5,9,import,48600.0
60,13,5,9,export,45300.0
61,13,1,11,import,8.0
62,13,2,11,import,2451.0
63,13,5,11,import,0.0
64,13,1,12,import,50.0
65,13,1,12,export,0.0
66,13,2,12,import,2000.0
67,13,2,12,export,0.0
68,13,3,12,import,0.0
69,13,3,12,export,0.0
70,13,4,12,import,0.0
71,13,5,12,import,200.0
72,13,5,12,export,0.0
73,13,1,13,import,0.0
74,13,2,13,import,473.0
75,13,2,13,export,0.0
76,13,3,13,import,0.0
77,13,4,13,import,0.0
78,13,5,13,import,251970.0
79,13,1,14,import,0.0
80,13,1,14,import,155.0
81,13,1,14,export,0.0
82,13,2,14,import,4530.0
83,13,2,14,export,38.0
84,13,3,14,import,0.0
85,13,3,14,export,0.0
86,13,4,14,import,0.0
87,13,4,14,export,0.0
88,13,5,14,import,1867.0
89,13,5,14,export,0.0
90,13,1,18,import,0.0
91,13,1,18,import,0.0
92,13,1,18,export,0.0
93,13,2,18,import,600.0
94,13,3,18,import,0.0
95,13,4,18,import,0.0
96,13,5,18,import,0.0
97,13,1,19,import,0.0
98,13,1,19,export,0.0
99,13,2,19,import,400.0
100,13,2,19,export,0.0
101,13,5,19,import,700.0
102,13,5,19,export,0.0
103,13,1,20,import,0.0
104,13,2,20,import,0.0
105,13,4,20,import,0.0
106,13,5,20,import,17500.0
107,13,1,21,import,0.0
108,13,1,21,export,0.0
109,13,2,21,import,0.0
110,13,2,21,export,0.0
111,13,3,21,import,0.0
112,13,3,21,export,0.0
113,13,4,21,import,0.0
114,13,4,21,export,0.0
115,13,5,21,import,4514.0
116,13,5,21,export,0.0
117,13,1,23,import,16000.0
118,13,1,23,export,0.0
119,13,2,23,import,600.0
120,13,2,23,export,0.0
121,13,3,23,import,0.0
122,13,3,23,export,0.0
123,13,4,23,import,0.0
124,13,4,23,export,0.0
125,13,5,23,import,0.0
126,13,5,23,export,0.0
127,13,1,24,import,0.0
128,13,1,24,export,4448.0
129,13,2,24,import,3266.0
130,13,2,24,export,0.0
131,13,3,24,import,0.0
132,13,3,24,export,13.0
133,13,4,24,import,16.0
134,13,4,24,export,73270.0
135,13,5,24,import,1881300.0
136,13,5,24,export,0.0
137,13,1,25,import,800.0
138,13,1,25,export,0.0
139,13,2,25,import,180.0
140,13,2,25,export,0.0
141,13,3,25,import,0.0
142,13,4,25,import,40.0
143,13,5,25,import,0.0
144,13,5,25,export,0.0
145,13,1,26,import,61010.0
146,13,1,26,export,104288.0
147,13,2,26,import,0.0
148,13,2,26,export,64816.0
149,13,3,26,import,0.0
150,13,3,26,export,0.0
151,13,4,26,import,0.0
152,13,4,26,export,0.0
153,13,5,26,import,7586.0
154,13,5,26,export,10424.0
155,13,1,27,import,800.0
156,13,1,27,export,0.0
157,13,2,27,import,200.0
158,13,2,27,export,0.0
159,13,3,27,import,525.0
160,13,5,27,import,0.0
161,13,1,28,import,0.0
162,13,2,28,import,0.0
163,13,3,28,export,0.0
164,13,5,28,import,0.0
165,13,1,29,import,9200.0
166,13,1,29,export,0.0
167,13,2,29,import,320.0
168,13,2,29,export,0.0
169,13,5,29,import,0.0
170,13,1,30,import,0.0
171,13,1,30,export,103600.0
172,13,2,30,import,450.0
173,13,4,30,export,7060.0
174,13,5,30,import,0.0
175,13,1,31,import,0.0
176,13,1,31,export,0.0
177,13,2,31,import,2157.0
178,13,2,31,export,71.0
179,13,3,31,import,0.0
180,13,3,31,export,0.0
181,13,4,31,import,0.0
182,13,4,31,export,0.0
183,13,5,31,import,0.0
184,13,5,31,export,0.0
185,13,1,32,import,7313.0
186,13,1,32,import,576568.0
187,13,1,32,export,1935.0
188,13,2,32,import,105469.0
189,13,2,32,export,102322.0
190,13,3,32,import,0.0
191,13,3,32,export,0.0
192,13,4,32,import,313320.0
193,13,4,32,export,82420.0
194,13,5,32,import,100.0
195,13,5,32,export,9964000.0
196,13,1,33,import,0.0
197,13,2,33,import,293.0
198,13,3,33,import,0.0
199,13,5,33,import,0.0
200,13,1,34,import,0.0
201,13,2,34,import,140.0
202,13,5,34,import,0.0
203,13,1,35,import,392.0
204,13,1,35,export,0.0
205,13,2,35,import,4540.0
206,13,2,35,export,0.0
207,13,3,35,import,0.0
208,13,3,35,export,0.0
209,13,4,35,import,0.0
210,13,4,35,export,0.0
211,13,5,35,import,80286.0
212,13,5,35,export,0.0
213,13,1,37,import,69500.0
214,13,1,37,export,1400.0
215,13,2,37,import,10170.0
216,13,2,37,export,1150.0
217,13,3,37,import,192.0
218,13,3,37,export,240.0
219,13,4,37,import,29710.0
220,13,4,37,export,8130.0
221,13,5,37,import,86900.0
222,13,5,37,export,5100.0
223,13,1,38,import,300.0
224,13,1,38,export,0.0
225,13,2,38,import,900.0
226,13,2,38,export,0.0
227,13,3,38,import,0.0
228,13,3,38,export,0.0
229,13,4,38,import,0.0
230,13,4,38,export,0.0
